station_id;id2;loc1;loc2;id3;since;unknown;lat;lon;state;state_name;loc_type1;loc_type2;neighboring;street;hnumber;zip_code;mindate
487;DEBY053;Nürnberg/Bahnhof;Nürnberg;;1986-09-01;NA;11.0884;49.4459;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Köhnstraße;;90478;2016-01-01
490;DEBY056;Fürth/Theresienstraße;Fürth;;1990-11-01;NA;10.9847;49.4722;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Theresienstraße;;90762;2016-01-01
492;DEBY058;Nürnberg/Muggenhof;Nürnberg, Stadtteil Muggenhof;;1978-08-01;NA;11.0248;49.4622;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Fuchsstraße;13;90429;2016-01-01
496;DEBY062;Regen/Bodenmaiser Straße;Regen;;1989-02-01;NA;13.1289;48.9724;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Bodenmaiser Straße;;94209;2016-01-01
497;DEBY063;Regensburg/Rathaus;Regensburg;;2015-03-11;NA;12.1016;49.0152;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;D.-Martin-Luther-Straße;;93047;2016-01-01
501;DEBY067;Schwandorf/Wackersdorfer Straße;Schwandorf;;1980-01-01;NA;12.1281;49.3220;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Wackersdorfer Straße;;92421;2016-01-01
502;DEBY068;Schweinfurt/Obertor;Schweinfurt;;1976-01-01;NA;10.2321;50.0484;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Kornmarkt;;97421;2016-01-01
506;DEBY072;Tiefenbach/Altenschneeberg;Tiefenbach, Gde.teil Altenschneeberg;;1983-10-01;NA;12.5489;49.4385;BY;Bayern;ländlich regional;ländlich;Hintergrund;Flurstück-Nr. 14;;93464;2016-01-01
509;DEBY075;Weiden i.d.OPf./Nikolaistraße;Weiden i.d.OPf.;;1980-01-01;NA;12.1594;49.6790;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Nikolaistraße;;92637;2016-01-01
511;DEBY077;Würzburg/Kopfklinik;Würzburg;;1975-01-01;NA;9.9564;49.8047;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Lindleinstraße;;97080;2016-01-01
513;DEBY079;Bad Reichenhall/Kirchholzstraße;Bad Reichenhall,Kirchholzstraße;;2017-12-05;NA;12.8912;47.7334;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Kirchholzstraße;;83435;2016-01-01
522;DEBY088;Trostberg/Schwimmbadstraße;Trostberg;;1992-05-01;NA;12.5382;48.0217;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Schwimmbadstr.;;83308;2016-01-01
523;DEBY089;München/Johanneskirchen;München, Stadtteil Johanneskirchen;;1993-07-01;NA;11.6480;48.1732;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Nußstraße;;81929;2016-01-01
527;DEBY093;Sulzbach-Rosenberg/Lohe;Sulzbach-Rosenberg;;1999-05-11;NA;11.7863;49.4880;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;St.-Christophorus-Str.;1;92237;2016-01-01
528;DEBY099;Augsburg/LfU;Augsburg;;2000-07-27;NA;10.9031;48.3260;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Bürgermeister-Ulrich-Straße;160;86179;2016-01-01
529;DEBY109;Andechs/Rothenfeld;Andechs, Gde.teil Rothenfeld;;2003-04-17;NA;11.2202;47.9688;BY;Bayern;ländlich regional;ländlich;Hintergrund;Rothenfeld - JVA;;82346;2016-01-01
530;DEBY110;Augsburg/Karlstraße;Augsburg;;2003-08-01;NA;10.8962;48.3702;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Karlstraße;;86150;2016-01-01
531;DEBY111;Bayreuth/Hohenzollernring;Bayreuth;;2003-08-01;NA;11.5701;49.9436;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Hohenzollernring;;95444;2016-01-01
533;DEBY113;Erlangen/Kraepelinstraße;Erlangen;;2004-04-01;NA;10.9635;49.6059;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Kraepelinstraße;;91056;2016-01-01
535;DEBY115;München/Landshuter Allee;München;;2004-07-01;NA;11.5365;48.1496;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Landshuter Allee;31;80637;2016-01-01
538;DEBY118;Passau/Stelzhamerstraße;Passau;;2005-04-05;NA;13.4220;48.5736;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Stelzhamerstraße;;94036;2016-01-01
539;DEBY119;Würzburg/Stadtring Süd;Würzburg;;2005-11-01;NA;9.9477;49.7905;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Stadtring Süd;Fußweg Gre;97074;2016-01-01
540;DEBY120;Nürnberg/Von-der-Tann-Straße;Nürnberg;;2006-11-01;NA;11.0361;49.4405;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Von-der-Tann-Straße;137;90439;2016-01-01
